Sample,Site,Drainage,G1,G2,G3,G4,G5,G6,G7,G8,G9,S1,S2,S3,S4,S5,S6,S7,S8,S9,Ai,STi
Cur1,Curaguate,North Slope,Pore-DAB*592,Pore-DAB*590,Pore-DAB*202,Pore-DAB*319,,,,,,7,7,9,9,,,,,,4,2
Cur10,Curaguate,North Slope,Pore-DAB*319,Pore-DAB*202,Pore-DAB*250,,,,,,,9,9,3,,,,,,,3,2
Cur15,Curaguate,North Slope,Pore-DAB*593,Pore-DAB*202,Pore-DAB*319,,,,,,,7,9,9,,,,,,,3,2
Cur18,Curaguate,North Slope,Pore-DAB*410,Pore-DAB*202,Pore-DAB*337,,,,,,,13,9,13,,,,,,,3,2
Cur19,Curaguate,North Slope,Pore-DAB*319,Pore-DAB*832,,,,,,,,9,5,,,,,,,,2,2
Cur2,Curaguate,North Slope,Pore-DAB*202,Pore-DAB*298,,,,,,,,9,7,,,,,,,,2,2
Cur20,Curaguate,North Slope,Pore-DAB*319,Pore-DAB*833,Pore-DAB*337,Pore-DAB*832,,,,,,9,13,13,5,,,,,,4,3
Cur22,Curaguate,North Slope,Pore-DAB*304,Pore-DAB*319,Pore-DAB*202,Pore-DAB*337,,,,,,7,9,9,13,,,,,,4,3
Cur24,Curaguate,North Slope,Pore-DAB*202,Pore-DAB*291,,,,,,,,9,5,,,,,,,,2,2
Cur5,Curaguate,North Slope,Pore-DAB*584,Pore-DAB*589,Pore-DAB*202,,,,,,,7,5,9,,,,,,,3,3
Cur6,Curaguate,North Slope,Pore-DAB*592,Pore-DAB*319,Pore-DAB*202,Pore-DAB*410,,,,,,7,9,9,13,,,,,,4,3
Cur7,Curaguate,North Slope,Pore-DAB*202,Pore-DAB*319,,,,,,,,9,9,,,,,,,,2,1
Cur9,Curaguate,North Slope,Pore-DAB*202,Pore-DAB*319,Pore-DAB*410,Pore-DAB*337,Pore-DAB*302,,,,,9,9,13,13,14,,,,,5,3
LC1,Las Cuevas,North Slope,Pore-DAB*305,Pore-DAB*202,Pore-DAB*319,,,,,,,7,9,9,,,,,,,3,2
LC10,Las Cuevas,North Slope,Pore-DAB*304,Pore-DAB*306,Pore-DAB*319,Pore-DAB*202,,,,,,7,7,9,9,,,,,,4,2
LC11,Las Cuevas,North Slope,Pore-DAB*294,Pore-DAB*281,Pore-DAB*319,Pore-DAB*202,,,,,,7,5,9,9,,,,,,4,3
LC12,Las Cuevas,North Slope,Pore-DAB*410,Pore-DAB*202,Pore-DAB*319,,,,,,,13,9,9,,,,,,,3,2
LC13,Las Cuevas,North Slope,Pore-DAB*291,Pore-DAB*319,Pore-DAB*202,,,,,,,5,9,9,,,,,,,3,2
LC14,Las Cuevas,North Slope,Pore-DAB*306,Pore-DAB*202,Pore-DAB*410,,,,,,,7,9,13,,,,,,,3,3
LC15,Las Cuevas,North Slope,Pore-DAB*309,Pore-DAB*319,Pore-DAB*202,,,,,,,7,9,9,,,,,,,3,2
LC16,Las Cuevas,North Slope,Pore-DAB*202,,,,,,,,,9,,,,,,,,,1,1
LC17,Las Cuevas,North Slope,Pore-DAB*319,Pore-DAB*202,Pore-DAB*337,,,,,,,9,9,13,,,,,,,3,2
LC18,Las Cuevas,North Slope,Pore-DAB*319,Pore-DAB*376,Pore-DAB*337,,,,,,,9,9,13,,,,,,,3,2
LC19,Las Cuevas,North Slope,Pore-DAB*278,Pore-DAB*202,,,,,,,,5,9,,,,,,,,2,2
LC20,Las Cuevas,North Slope,Pore-DAB*319,Pore-DAB*202,,,,,,,,9,9,,,,,,,,2,1
LC21,Las Cuevas,North Slope,Pore-DAB*383,Pore-DAB*337,Pore-DAB*319,Pore-DAB*202,,,,,,5,13,9,9,,,,,,4,3
LC22,Las Cuevas,North Slope,Pore-DAB*283,Pore-DAB*410,Pore-DAB*376,Pore-DAB*202,,,,,,5,13,9,9,,,,,,4,3
LC23,Las Cuevas,North Slope,Pore-DAB*306,Pore-DAB*319,Pore-DAB*337,Pore-DAB*202,,,,,,7,9,13,9,,,,,,4,3
LC25,Las Cuevas,North Slope,Pore-DAB*337,Pore-DAB*319,Pore-DAB*202,,,,,,,13,9,9,,,,,,,3,2
LC26,Las Cuevas,North Slope,Pore-DAB*298,Pore-DAB*319,Pore-DAB*337,Pore-DAB*202,Pore-DAB*302,,,,,7,9,13,9,14,,,,,5,4
LC27,Las Cuevas,North Slope,Pore-DAB*306,Pore-DAB*319,Pore-DAB*202,,,,,,,7,9,9,,,,,,,3,2
LC29,Las Cuevas,North Slope,Pore-DAB*307,Pore-DAB*302,Pore-DAB*202,Pore-DAB*319,,,,,,7,14,9,9,,,,,,4,3
LC3,Las Cuevas,North Slope,Pore-DAB*294,Pore-DAB*202,,,,,,,,7,9,,,,,,,,2,2
LC31,Las Cuevas,North Slope,Pore-DAB*249,Pore-DAB*202,,,,,,,,9,9,,,,,,,,2,1
LC4,Las Cuevas,North Slope,Pore-DAB*298,Pore-DAB*290,Pore-DAB*376,Pore-DAB*319,,,,,,7,7,9,9,,,,,,4,2
LC5,Las Cuevas,North Slope,Pore-DAB*202,Pore-DAB*319,,,,,,,,9,9,,,,,,,,2,1
LC6,Las Cuevas,North Slope,Pore-DAB*202,Pore-DAB*307,Pore-DAB*300,,,,,,,9,7,7,,,,,,,3,2
LC7,Las Cuevas,North Slope,Pore-DAB*380,Pore-DAB*319,Pore-DAB*337,,,,,,,5,9,13,,,,,,,3,3
LC8,Las Cuevas,North Slope,Pore-DAB*202,Pore-DAB*337,,,,,,,,9,13,,,,,,,,2,2
LC9,Las Cuevas,North Slope,Pore-DAB*202,Pore-DAB*337,,,,,,,,9,13,,,,,,,,2,2
G021361,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021362,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
