"Generation","Allele","Count","Percentage"
"41","Allele_6",3,18.75
"41","Allele_7",0,0.0
"41","Allele_8",0,0.0
"41","Allele_9",0,0.0
"41","Allele_10",5,31.25
"41","Allele_11",0,0.0
"41","Allele_12",1,6.25
"41","Allele_13",4,25.0
"41","Allele_14",1,6.25
"41","Allele_15",0,0.0
"42","Allele_1",0,0.0
"42","Allele_2",0,0.0
"42","Allele_3",0,0.0
"42","Allele_4",0,0.0
"42","Allele_5",2,11.11111111111111
"42","Allele_6",7,38.888888888888886
"42","Allele_7",0,0.0
"42","Allele_8",0,0.0
"42","Allele_9",0,0.0
"42","Allele_10",0,0.0
"42","Allele_11",0,0.0
"42","Allele_12",4,22.22222222222222
"42","Allele_13",3,16.666666666666664
"42","Allele_14",2,11.11111111111111
"42","Allele_15",0,0.0
"43","Allele_1",0,0.0
"43","Allele_2",0,0.0
"43","Allele_3",1,5.263157894736842
"43","Allele_4",0,0.0
"43","Allele_5",1,5.263157894736842
"43","Allele_6",6,31.57894736842105
"43","Allele_7",0,0.0
"43","Allele_8",0,0.0
"43","Allele_9",3,15.789473684210526
"43","Allele_10",1,5.263157894736842
"43","Allele_11",0,0.0
"43","Allele_12",4,21.052631578947366
"43","Allele_13",3,15.789473684210526
"43","Allele_14",0,0.0
"43","Allele_15",0,0.0
"44","Allele_1",0,0.0
"44","Allele_2",0,0.0
"44","Allele_3",2,9.090909090909092
"44","Allele_4",0,0.0
"44","Allele_5",1,4.545454545454546
"44","Allele_6",3,13.636363636363635
"44","Allele_7",0,0.0
"44","Allele_8",0,0.0
"44","Allele_9",0,0.0
"44","Allele_10",8,36.36363636363637
"44","Allele_11",0,0.0
"44","Allele_12",4,18.181818181818183
"44","Allele_13",3,13.636363636363635
"44","Allele_14",1,4.545454545454546
"44","Allele_15",0,0.0
"45","Allele_1",0,0.0
"45","Allele_2",0,0.0
"45","Allele_3",1,3.3333333333333335
"45","Allele_4",0,0.0
"45","Allele_5",1,3.3333333333333335
"45","Allele_6",9,30.0
"45","Allele_7",0,0.0
"45","Allele_8",0,0.0
"45","Allele_9",2,6.666666666666667
"45","Allele_10",6,20.0
"45","Allele_11",0,0.0
"45","Allele_12",3,10.0
"45","Allele_13",5,16.666666666666664
"45","Allele_14",3,10.0
"45","Allele_15",0,0.0
"46","Allele_1",0,0.0
"46","Allele_2",0,0.0
"46","Allele_3",0,0.0
"46","Allele_4",0,0.0
"46","Allele_5",1,5.0
"46","Allele_6",5,25.0
"46","Allele_7",0,0.0
"46","Allele_8",0,0.0
"46","Allele_9",4,20.0
"46","Allele_10",2,10.0
"46","Allele_11",0,0.0
"46","Allele_12",2,10.0
"46","Allele_13",5,25.0
"46","Allele_14",1,5.0
"46","Allele_15",0,0.0
"47","Allele_1",0,0.0
"47","Allele_2",0,0.0
"47","Allele_3",3,10.0
"47","Allele_4",0,0.0
"47","Allele_5",3,10.0
"47","Allele_6",6,20.0
"47","Allele_7",0,0.0
"47","Allele_8",0,0.0
"47","Allele_9",1,3.3333333333333335
"47","Allele_10",5,16.666666666666664
"47","Allele_11",0,0.0
"47","Allele_12",2,6.666666666666667
"47","Allele_13",9,30.0
"47","Allele_14",1,3.3333333333333335
"47","Allele_15",0,0.0
"48","Allele_1",0,0.0
"48","Allele_2",0,0.0
"48","Allele_3",2,8.695652173913043
"48","Allele_4",0,0.0
"48","Allele_5",0,0.0
"48","Allele_6",7,30.434782608695656
"48","Allele_7",0,0.0
"48","Allele_8",0,0.0
"48","Allele_9",1,4.3478260869565215
"48","Allele_10",4,17.391304347826086
"48","Allele_11",0,0.0
"48","Allele_12",3,13.043478260869565
"48","Allele_13",3,13.043478260869565
"48","Allele_14",3,13.043478260869565
"48","Allele_15",0,0.0
"49","Allele_1",0,0.0
